loss,mse,val_loss,val_mse,learning_rate
0.264096736907959,0.0029841354116797447,0.0912313461303711,0.0013095370959490538,9.999999747378752e-05
0.08471135050058365,0.001381564768962562,0.034447528421878815,0.0011299338657408953,9.999999747378752e-05
0.04322218894958496,0.001239847275428474,0.018894707784056664,0.0010651949560269713,9.999999747378752e-05
0.027009978890419006,0.0011425655102357268,0.011568529531359673,0.0010050202254205942,9.999999747378752e-05
0.018524276092648506,0.0010708692716434598,0.008050335571169853,0.000984784564934671,9.999999747378752e-05
0.013960090465843678,0.001034851185977459,0.005917755886912346,0.000934141397010535,9.999999747378752e-05
0.010830833576619625,0.0009912961395457387,0.004543857648968697,0.0009269366855733097,9.999999747378752e-05
0.00910637155175209,0.0009762792033143342,0.004008198622614145,0.0008966546738520265,4.999999873689376e-05
0.008236223831772804,0.0009678287897258997,0.003599088406190276,0.0009205107344314456,4.999999873689376e-05
0.007432818412780762,0.0009567314991727471,0.0032170708291232586,0.0008845337433740497,4.999999873689376e-05
